item,expect,outcome,deviation
F1a joint anticommutant,"span(Z), one-dimensional","PASS - dim(joint anticommutant)=1, basis = +-Z [True]; Gamma_s-only shape (x1,x2,x3,x4)=(-x4, -sqrt(5)*x3/5, x3, x4) = [[a,b],[-r5 b,-a]]",
F1b dispersion / M^2 sign,"detM=-m^2 s^2 -r5(k^2-E^2); s=1 healthy, s=i tachyonic","PASS - s=1: M matches [True], detM=-m^2 s^2 -r5(k^2-E^2) [True], E^2=k^2+m^2 s^2/r5 [True], M^2=sqrt(5)/5 (>0 healthy); s=i: M matches [True], detM=-m^2 s^2 -r5(k^2-E^2) [True], E^2=k^2+m^2 s^2/r5 [True], M^2=-sqrt(5)/5 (<0 tachyonic)",
F2a transpose intertwining,"A: Gs parity +1, Ga parity -1; A' exchanges; never (+,+)","PASS - A=diag(r5,1): (Gs,Ga) parity=(+1,-1); A'=diag(-r5,1): (-1,+1); diag(+,+) never occurs [True]",
F2b no neutral antisymmetriser,"N Gs~eps forces N=lam diag(1,-1/r5); N Ga symmetric, not ~eps","PASS - N (up to scale) = (1, 0, 0, -sqrt(5)/5) = diag(1,-1/r5) [True]; N Ga = (0, -1, -1, 0) symmetric [True], proportional to eps [False] -> no constant N antisymmetrises both",
F3a unconstrained mass reality,neither s=1 nor s=i gives Im=0 generically (forces a constraint),PASS - B = r5 N(psi1)-N(psi2) [True]; Im[ev1 m*1*B] generically nonzero [True]; Im[ev1 m*i*B] generically nonzero [True] -> field-reality constraint mandatory,
F3b tau-constrained mass reality,"tau -> p real,q imaginary; N=a^2+5d^2>0; s=1 mass real","PASS - Im[ev1 m*1*B] under tau = 0 [real=True]; N(psi1)=f^2+5g^2 [True], N(psi2)=f^2+5g^2 [True] (real, positive)",
F3 reconciliation sigma=tau on locus,F3b constraint is exactly sigma=tau on the physical (constrained) locus,PASS - sigma(psi)=tau(psi) on the tau-constrained field [True] (=> sigma-Majorana and tau-Majorana coincide on-shell; Paper 226 sec.5.3),
F3 sub-check 2 EOM preserves tau,"golden Dirac evolution keeps the tau-constraint (real, closed system)","PASS - psi_i=f_i+i r5 g_i in EOM -> 4 real closed equations for (f_i,g_i); no term forces complex f,g [True] (a,d sectors evolve by the same golden-Dirac system)",
F3 sub-check 3 nondegeneracy,kinetic/symplectic form nondegenerate on the tau-halved config space,"PASS - d0 antisymmetric (symplectic) matrix rank=4/4, det=625 -> nondegenerate [True] (no K1 from degeneracy)",
F3 JOINT-GATE VERDICT: COLLISION,CLEAR (hand to F4) or COLLISION (K1/K2/K3 fire at free level),"PASS - no single constraint reales BOTH kinetic(literal L) and mass at s=1: mass real under ['tau'], kinetic(factor=1) real under none; kinetic Im mod TD under tau,s=1 = 5*f1*g2t - 5*f1t*g2 + 5*f2*g1t - 5*f2t*g1 (nonzero antisym d0 current) -> K1/K3 fire, split sigma-theory sick at free level, compact-or-bust",
"Genericity (real-quadratic, not golden)","sqrt5 and sqrt13 give identical diag(+,-) parity and nonzero kinetic obstruction","PASS - parity diag(+,-) for both D=5,13 [True]; kinetic Im mod TD nonzero for both [True] -> the no-go is a real-quadratic no-go, holds for Q(sqrt13) identically",
