item,expect,outcome,deviation
"F8a conservation [K2 (sigma-odd mass, the axiom)]",conserved current exists AND mass residual cancels on shell,FAIL - current B solved from derivative terms; mass residual = 5**(1/4)*mu*(c0*c3*(1 - I) - c1*c2*(1 + I)) -> conserved [False],
F8a diagnostic (pairing x mass parity),with the correct current: does the mass residual cancel?,"INFO - conserved table = {('K2', 'm2-odd'): False, ('K2', 'm2-even'): False, ('A0', 'm2-odd'): False, ('A0', 'm2-even'): False}",
F8a on tau-locus [sigma-EVEN (m in K)],does the construction conserve IN-field (physical locus)?,"FAIL - tau-constrained solutions, mass sigma-EVEN (m in K); mass residual after solving current = 2*mu*(-a2*a3 - sqrt(5)*I*a2*b3 + sqrt(5)*I*a3*b2 - 5*b2*b3) -> conserved [False]",
"F8a on tau-locus [sigma-ODD (m = 5^(1/4) mu, the axiom)]",does the construction conserve IN-field (physical locus)?,"FAIL - tau-constrained solutions, mass sigma-ODD (m = 5^(1/4) mu, the axiom); mass residual after solving current = 5**(1/4)*mu*(a1*a4*(1 - I) + sqrt(5)*a1*b4*(1 + I) - a2*a3*(1 + I) + sqrt(5)*a2*b3*(1 - I) + sqrt(5)*a3*b2*(-1 + I) - sqrt(5)*a4*b1*(1 + I) + 5*b1*b4*(1 - I) - 5*b2*b3*(1 + I)) -> conserved [False]",
F8 root (1): sigma-odd mass forces m not in K,the first-order mass coefficient leaves the field K,INFO - m = 5^(1/4) mu; minimal polynomial over Q = x**4 - 5 (degree 4 > 2) -> m NOT in K=Q(sqrt5) [True]. Cliff's axiom M^2 sigma-even + dispersion M^2=m^2 s^2/sqrt5 => m^2=sqrt5 mu^2 => m irrational-of-degree-4: the massive golden Dirac operator is NOT over K.,
F8 root (2): the sigma-adjoint carries no phase conjugation,"psibar=(sigma psi)^T A -> e^{+i a} psibar, so <psi,psi> -> e^{2i a}: no U(1) charge off locus","INFO - sigma fixes e^(i a) [True] (no phase flip) -> off the physical locus the sigma-pairing is a BILINEAR form (scales e^(2i a)), not a conserved charge. ON the tau-locus sigma=tau and tau flips e^(i a)->e^(-i a) [True].",
F8 root (3): U(1) is broken on the locus too (Majorana-like),e^{i a} psi leaves the tau-locus -> no U(1) even on-shell -> no conserved Dirac charge,INFO - e^(i a)*(f + i sqrt5 g) has p-part e^(i a) f with Im = f*sin(a) != 0 -> NOT tau-constrained [stays_on_locus=False]. The tau-reality constraint is a MAJORANA condition (sigma-real); such fields carry NO conserved U(1) current -- consistent with the nonzero mass residual above. => the 'conserved pairing' of F8a does not exist for the massive golden field. GATE FAILS.,
"F8b <u+,u+> at inf1 [K2]",opposite definite signs on +/- (K4-PASS) vs same/intra-indefinite (K4-FIRE),"INFO - pairing = sqrt(5)*(-2*k**2 - 2*k*sqrt(k**2 + mu**2) + mu**2*(-1 + I))  [COMPLEX (real+imag both nonzero)]; Re=sqrt(5)*(-2*k**2 - 2*k*sqrt(k**2 + mu**2) - mu**2), Im=sqrt(5)*mu**2",
"F8b <u+,u+> at inf2 [K2]",opposite definite signs on +/- (K4-PASS) vs same/intra-indefinite (K4-FIRE),"INFO - pairing = sqrt(5)*(2*k**2 + 2*k*sqrt(k**2 + mu**2) + mu**2*(1 - I))  [COMPLEX (real+imag both nonzero)]; Re=sqrt(5)*(2*k**2 + 2*k*sqrt(k**2 + mu**2) + mu**2), Im=-sqrt(5)*mu**2",
"F8b <u-,u-> at inf1 [K2]",opposite definite signs on +/- (K4-PASS) vs same/intra-indefinite (K4-FIRE),"INFO - pairing = sqrt(5)*(-2*k**2 + 2*k*sqrt(k**2 + mu**2) + mu**2*(-1 + I))  [COMPLEX (real+imag both nonzero)]; Re=sqrt(5)*(-2*k**2 + 2*k*sqrt(k**2 + mu**2) - mu**2), Im=sqrt(5)*mu**2",
