item,expect,outcome,deviation
A1 block relations,all pass,PASS — all 5 relations hold,
A2 L1 invariance hunt,"preserve (a)-(d); flip (e),(f)","PASS — 16 cands: exact conj 96, numeric conj 320, transpose/neg/tau preserved 48, sigma/sigmatau flipped 32 — all correct",
A3 C0 explicit,all pass,"PASS — C0 swaps seed/adj, C0^2=+1 (algebra & vectors)",
A4 weights/trace-zero,all pass,PASS — norm-one torus preserves pairing; equal-weight fails; Lie(T_sigma)=Q.sqrt5,
A5 toy-model end-to-end (F3),pass conditionally,"FAIL — literal C0=Z.sigma does NOT map L_q solutions to L_{-q} (EXPECT target); it intertwines only the seed<->adjoint / x0<->x1-swapped, a->-a operator","exact all-k intertwiner sigma(Mq)=Z.target.Z holds ONLY for: [swapped-order/a->-a]. Free/kinetic part maps under the sector+coordinate swap; the residual obstruction vs the same-a swapped target is pure minimal-coupling = 0,2*q*(a0 - a1),2*sqrt(5)*q*(a0 + a1),0 (proportional to q.a_mu, no k-dependence: True). F3 signal: sector grading (W=Z) requires a time<->space swap to align with operator grading; not patched."
A6 volume-element squares,"+25(x6), -25, -5^{3/2}","PASS — (G5_4)^2=+25 on all 6 (2,2) cliques; i-dressed clique is (1,3) with omega^2=-25; 3-gamma sq=-5*sqrt(5)",
A7 eigenvalue fields,all pass,PASS — minpoly(5^1/4 i)=x^4-5; embeddings 2 real + 1 cc-pair (not CM); i not in Q(5^1/4 i) [deg 4],
A8 descent invariant J,J unique; J^2=-1; +1 impossible,"FAIL — B unique up to scale (dim 1) OK; but J^2 = (-1/sqrt5 (=-sqrt5/5))*I is INDEFINITE, not -1 (sign at +sqrt5 place=-0.4472, at -sqrt5 place=+0.4472)","J^2 = c.I with c = -1/sqrt5 (numeric-authoritative; symbolic simplify unreliable here). Renormalisation J->lam.J scales J^2 by the totally-positive norm N(lam), so the (-,+) sign pattern is invariant: J^2 reaches NEITHER -1 (needs N=sqrt5, indefinite -> not a norm) NOR +1 (needs N=-sqrt5). EXPECT's '+1 impossible' holds; headline 'J^2=-1' does NOT. Cause: sqrt5-normalisation (squares +-sqrt5, not +-1) -- 204 sec8 / analysis sec5 flag this clique is not standard Cl(1,3); does NOT contradict Paper 204 Thm 1."
A9 sigma flips signature,pass,"PASS — sigma(i-dressed (1,3) clique) is (3,1): signs [-1, -1, 1, -1] -> [1, 1, -1, 1], anticommutation preserved=True",
A10 ring bookkeeping,all pass,"PASS — Z[phi]: N(phi)=-1, norm-one=+-phi^{2n}; Z[sqrt5]: fund 2+sqrt5, norm-one=+-phi^{6n}, phi^6=9+4sqrt5",
